,ID урока,Дата старта урока,Роль пользователя,Текст сообщения,Дата сообщения,Разметка
395,358541,2024-03-13 14:50:11,user,У мен не открывается программа даже после перезагрузки. Код ошибки 254,2024-03-13 15:43:29,10
396,358541,2024-03-13 14:50:11,user,сейчас напишу,2024-03-13 15:44:07,4
397,358541,2024-03-13 14:50:11,user,микро гнеработает; 2024-03-13T16:11:23.448Z,2024-03-13 16:11:23,10
405,360447,2024-03-24 09:34:39,user,у нас идёт уже урок!,2024-03-24 10:03:35,4
406,360447,2024-03-24 09:34:39,user,я на уроке с вами!,2024-03-24 10:03:42,4
426,360447,2024-03-24 09:34:39,user,Диск c заполнен(,2024-03-24 10:26:01,10
427,360447,2024-03-24 09:34:39,user,а еще он не востановил программы,2024-03-24 10:26:14,10
429,360447,2024-03-24 09:34:39,user,чот не работает,2024-03-24 10:27:55,10
430,360447,2024-03-24 09:34:39,user,джавы нет,2024-03-24 10:28:37,10
435,360447,2024-03-24 09:34:39,user,"import time
from mcpi.minecraft import Minecraft
mc = Minecraft.create()
x,y,z = mc.player.getTilePos()
while True:
    mc.setBlock(x,y,z,41)
    time.sleep(0.5)
    mc.setBlock(x,y,z,0)
    x+= 1
    y += 1",2024-03-24 10:39:07,11
438,360447,2024-03-24 09:34:39,user,писать???,2024-03-24 10:41:54,4
455,360447,2024-03-24 09:34:39,user,"Елена, а можете ещё раз показать код?",2024-03-24 11:03:28,5
459,360447,2024-03-24 09:34:39,user,это новая?,2024-03-24 11:10:26,5
471,360447,2024-03-24 09:34:39,user,а у меня нет; 2024-03-24T11:16:55.571Z,2024-03-24 11:16:55,10
486,377877,2024-03-24 07:50:36,user,брух у меня винда слетела и оперу не могу теперь по умолчанию поставить,2024-03-24 08:01:27,10
488,377877,2024-03-24 07:50:36,user,там тупо оперы нет,2024-03-24 08:02:38,10
490,377877,2024-03-24 07:50:36,user,а ну я понял,2024-03-24 08:03:12,6
491,377877,2024-03-24 07:50:36,user,биос обновлять,2024-03-24 08:03:47,10
504,377877,2024-03-24 07:50:36,user,имя функции(параметры),2024-03-24 08:13:56,9
505,377877,2024-03-24 07:50:36,user,словари в питоне крч,2024-03-24 08:14:36,9
507,377877,2024-03-24 07:50:36,user,базы данных sqlite,2024-03-24 08:15:13,9
514,377877,2024-03-24 07:50:36,user,student.age,2024-03-24 08:22:40,9
515,377877,2024-03-24 07:50:36,user,нижний,2024-03-24 08:23:09,9
516,377877,2024-03-24 07:50:36,user,а в чем фишка 1,2024-03-24 08:23:32,5
521,377877,2024-03-24 07:50:36,user,можно сразу в объекте промт юзать?,2024-03-24 08:26:45,5
527,377877,2024-03-24 07:50:36,user,ничегл не слышу чет,2024-03-24 08:44:32,10
528,377877,2024-03-24 07:50:36,user,и фризят все; 2024-03-24T08:44:37.589Z,2024-03-24 08:44:37,10
533,377877,2024-03-24 07:50:36,user,блин forEach для объектов не работает,2024-03-24 08:54:07,10
538,377877,2024-03-24 07:50:36,user,скобки,2024-03-24 08:59:06,9
548,377877,2024-03-24 07:50:36,user,"а как браузер определить, или просто вписать любой?",2024-03-24 09:06:32,10
549,377877,2024-03-24 07:50:36,user,можете ещё раз показать как функцию писать,2024-03-24 09:08:30,5
550,377877,2024-03-24 07:50:36,user,у меня имя функции подсвечивается красным,2024-03-24 09:11:39,5
551,377877,2024-03-24 07:50:36,user,Посмотрите пожалуйста у меня почему-то имя функции подсвечиватся,2024-03-24 09:13:19,5
552,377877,2024-03-24 07:50:36,user,"А да, спасибо",2024-03-24 09:13:42,6
553,377877,2024-03-24 07:50:36,user,я в качестве дз скину,2024-03-24 09:17:57,4
555,377877,2024-03-24 07:50:36,user,можно покажу сайт который мы на практике писали только улучшенный,2024-03-24 09:25:30,4
565,397710,2024-03-01 15:59:16,user,https://disk.yandex.ru/i/AWEiQ7pau6exfQ; 2024-03-01T16:12:57.314Z,2024-03-01 16:12:57,18
566,411023,2024-03-07 16:51:26,user,"сложно, но пока понятно",2024-03-07 17:26:44,5
567,411023,2024-03-07 16:51:26,user,много информации,2024-03-07 17:26:50,5
568,411023,2024-03-07 16:51:26,user,"пока объясняете понимание есть, на практике посмотрим потом)",2024-03-07 17:26:53,5
574,417617,2024-03-18 16:39:06,user,"По дз не понимаю что писать, пишу firstNumber ReadLine терминал пишет что firstNumber уже используется. Как писать код?",2024-03-18 17:02:33,5
575,417617,2024-03-18 16:39:06,user,"Можно показать на примере как и где писать, самое начало.",2024-03-18 17:04:21,5
576,417617,2024-03-18 16:39:06,user,имена переменных не указываем а сразу пишем if else?,2024-03-18 17:05:04,5
577,417617,2024-03-18 16:39:06,user,"понял)))
Спасибо",2024-03-18 17:05:22,6
578,417617,2024-03-18 16:39:06,user,Теперь я понял,2024-03-18 17:05:41,6
579,417617,2024-03-18 16:39:06,user,"static int FindMax(int a, int b, int c)
    {
      return Math.Max(Math.Max(a, b), c);; 2024-03-18T17:08:23.740Z",2024-03-18 17:08:23,11
582,417617,2024-03-18 16:39:06,user,"я примерно так и думала, считать по индексам и выборочно их указывать",2024-03-18 17:29:09,6
583,417617,2024-03-18 16:39:06,user,"Разные способы решения, у них разная скорость выполения?",2024-03-18 17:31:33,5
585,417617,2024-03-18 16:39:06,user,А как понять что быстрее?,2024-03-18 17:32:10,5
586,417617,2024-03-18 16:39:06,user,в степень возводить по формуле?,2024-03-18 17:32:24,5
587,417617,2024-03-18 16:39:06,user,"Книга грокаем алгоритмы, там про рекурсию рассказывают. Я понял то, что ничего не понял",2024-03-18 17:34:35,5
588,417617,2024-03-18 16:39:06,user,"int num = new Random().Next(100, 1000);

Console.WriteLine(num);

int third = num / 10 % 10;
int second = num % 10;

Console.WriteLine(Math.Pow(third,second));",2024-03-18 17:35:28,11
589,417617,2024-03-18 16:39:06,user,"Console.WriteLine(num);
int num_1 = num % 100;
int num_2 = num_1 / 10;
int num_3 = num_1 % 10;
 Console.WriteLine($""num_1:{num_1}"");
  Console.WriteLine($""num_2:{num_2}"");

 
Console.WriteLine($""num_3:{num_3}"");

 Console.WriteLine($""результат:{Math.Pow(num_2,num_3)}"");",2024-03-18 17:44:07,11
590,417617,2024-03-18 16:39:06,user,Math.Pow не понял откуда взяли и что она выполняет,2024-03-18 17:44:25,5
591,417617,2024-03-18 16:39:06,user,"using System;

 
  int num = new Random().Next(100,1000);
Console.WriteLine(num);
int num_1 = num % 100;
int num_2 = num_1 / 10;
int num_3 = num_1 % 10;
 Console.WriteLine($""num_1:{num_1}"");
  Console.WriteLine($""num_2:{num_2}"");

 
Console.WriteLine($""num_3:{num_3}"");

 Console.WriteLine($""результат:{Math.Pow(num_2,num_3)}"");",2024-03-18 17:44:34,11
592,417617,2024-03-18 16:39:06,user,"Юрий, Math.Pow - метод из библиотеки math, он в степень возводит",2024-03-18 17:44:58,9
594,417617,2024-03-18 16:39:06,user,Pow в степень возводит,2024-03-18 17:45:18,9
595,417617,2024-03-18 16:39:06,user,а Math библиотека,2024-03-18 17:45:30,9
599,417617,2024-03-18 16:39:06,user,Где можно почитать про эти библиотеки?,2024-03-18 17:47:24,5
600,417617,2024-03-18 16:39:06,user,дока на оф сайте майкрософта,2024-03-18 17:47:35,9
604,417617,2024-03-18 16:39:06,user,объясните цикл - где возводится?,2024-03-18 17:52:27,5
605,417617,2024-03-18 16:39:06,user,где указано что вторая цифра должна возводится,2024-03-18 17:52:46,5
606,417617,2024-03-18 16:39:06,user,с *=num2,2024-03-18 17:52:53,11
607,417617,2024-03-18 16:39:06,user,"Тодирас, в первой строке тела цикла указанго",2024-03-18 17:53:10,9
608,417617,2024-03-18 16:39:06,user,потому что у нас c равна num_2,2024-03-18 17:53:11,9
609,417617,2024-03-18 16:39:06,user,она сама на себя умножается,2024-03-18 17:53:48,9
611,417617,2024-03-18 16:39:06,user,"Вопрос по VSC.
Если на рабочем столе создать каталог и в нем начать кодить, тогда все всплывающие подсказки всплывают.
А если создать каталог и в нем еще каталог, подсказок нет, приходится все печать, как поправить?",2024-03-18 17:54:29,10
616,417617,2024-03-18 16:39:06,user,новичкам не понятно ((,2024-03-18 18:00:25,5
617,417617,2024-03-18 16:39:06,user,экран не видно(,2024-03-18 18:01:58,10
618,417617,2024-03-18 16:39:06,user,"string Test(int first, int second)
{
    if (second == 0) {  return ""Деление на 0!""; }

    int res = first % second;

    if (res == 0)
    {
        return ""Да"";
    }
    else
    {
        return $""Нет, {res}"";
    }
}

Console.WriteLine(Test(10,0));",2024-03-18 18:06:19,11
620,417617,2024-03-18 16:39:06,user,"Прошу прощения что загрузил своими функциями, не ругайте (",2024-03-18 18:14:05,5
624,417617,2024-03-18 16:39:06,user,С помощью библитек можно измерить скорость выполнения кода?,2024-03-18 18:16:43,5
625,417617,2024-03-18 16:39:06,user,На следующем уроке может покажите?,2024-03-18 18:17:08,4
626,417617,2024-03-18 16:39:06,user,"Олег, в целом, есть оценка сложностей алгоритмов, с помощью ее сам можешь понимать, что быстрее, а что медленнее работать будет)",2024-03-18 18:18:10,9
628,417617,2024-03-18 16:39:06,user,А по индексу можно вытащить?,2024-03-18 18:21:43,5
630,417617,2024-03-18 16:39:06,user,"тогда преобразуем в строки, потом в число, так можно сделать?",2024-03-18 18:26:13,5
631,417617,2024-03-18 16:39:06,user,"string Test(int num)
{
    if (num > 999)
    {
        while (num > 999)
        {
            num = num / 10;
        }
        return $""{num % 10}"";
    }
    else
    {
        return ""Третьей цифры нет"";
    }
}

Console.WriteLine(Test(Convert.ToInt32(Console.ReadLine())));",2024-03-18 18:26:26,11
633,417617,2024-03-18 16:39:06,user,"using System;

 
  int num = new Random().Next(0,10000);
Console.WriteLine(num);
int res=0;
if(num<100){Console.WriteLine($""третей цифры нет:{num}"");}else{
  
while(num>=100){
 res=num%10; 
 num/=10;
Console.WriteLine($""ответ:{res}"");


}

}; 2024-03-18T18:37:23.652Z",2024-03-18 18:37:23,11
634,417617,2024-03-18 16:39:06,user,по этому методу все понятно,2024-03-18 18:43:27,6
636,417617,2024-03-18 16:39:06,user,так это же домашка) зачем ее сейчас решать за нас?) хахах,2024-03-18 18:46:12,4
640,417617,2024-03-18 16:39:06,user,надо указать и цифру и четверть?,2024-03-18 18:52:42,5
641,417617,2024-03-18 16:39:06,user,"спасибо за наводящие мысли, завтра постараюсь их решить, а решение нужно куда то прикреплять?",2024-03-18 18:52:54,4
642,417617,2024-03-18 16:39:06,user,на гитхаб?,2024-03-18 18:54:32,4
643,417617,2024-03-18 16:39:06,user,"а, поняла)",2024-03-18 18:54:50,6
650,417617,2024-03-18 16:39:06,user,"Можно наверное загрузить через смартфон, там есть микрофон.; 2024-03-18T18:57:49.531Z",2024-03-18 18:57:49,9
654,437287,2024-03-31 06:58:05,,я перезайду; 2024-03-31T07:22:30.081Z,2024-03-31 07:22:30,10
656,420062,2024-03-28 15:51:17,user,шумоподавление глушит некоторые чистоты,2024-03-28 16:01:09,10
657,420062,2024-03-28 15:51:17,user,снова как будто приглушенно,2024-03-28 16:01:25,10
658,420062,2024-03-28 15:51:17,user,лучше но шум,2024-03-28 16:01:38,10
659,420062,2024-03-28 15:51:17,user,"Смотрел, в целом там было все понятно, осталось на практике применить )",2024-03-28 16:03:14,6
662,420062,2024-03-28 15:51:17,user,презентация почему то не открывается((( можете сюда скинуть задание ?,2024-03-28 16:11:45,10
663,420062,2024-03-28 15:51:17,user,"/* <div id=""block"">
<p>1</p>
<p>2</p>
</div>
1 Получите ссылку на первый абзац из дива с id,
равным block, выведите его в консоль
2 Получите ссылку на первый абзац с классом www.
и вывести его в консоль
<p class=""www"">text 1</p>
<p class=""www"">text 2</p> */",2024-03-28 16:12:00,11
664,420062,2024-03-28 15:51:17,user,"спасибо, чтобы время не тратить на перепечатку",2024-03-28 16:12:09,6
665,420062,2024-03-28 15:51:17,user,document.querySelectorAll('.www');,2024-03-28 16:16:06,11
666,420062,2024-03-28 15:51:17,user,"Задание 2 (тайминг 15 минут)
1 Дан тег <a class=""link"" href=""#"">link text html</a>
a. Вам необходимо поменять текст внутри ссылки на “link
text js”
b. Заменить href, на значение
https://developer.mozilla.org/ru/
2 Дан тег <img class=""photo"" src="""" alt="""">
a. Вам необходимо с помощью js поменять значение src на
любое изображение из интернета",2024-03-28 16:20:04,4
667,420062,2024-03-28 15:51:17,user,"const divEl = document.querySelector(""div#block"");
console.log(divEl);
console.log(document.querySelectorAll(""div#block p.www"")[0].innerHTML);
console.log(divEl.querySelectorAll(""p.www"")[0].innerHTML);",2024-03-28 16:20:14,11
668,420062,2024-03-28 15:51:17,user,"const linkEl = document.querySelector(""a.link"");
linkEl.innerHTML = ""link text js"";
linkEl.href = ""https://developer.mozilla.org/ru/"";
const imgEl = document.querySelector(""img.photo"");
imgEl.src =
  ""https://mykaleidoscope.ru/x/uploads/posts/2022-09/1663110886_50-mykaleidoscope-ru-p-spokoinii-chelovek-vkontakte-62.jpg"";",2024-03-28 16:27:43,11
